name,population,zcta
Highland County,1403,24465
Augusta County,2318,24467
Augusta County,0,24469
Rockingham County,1768,24471
Rockbridge County,2176,24472
Rockbridge County,979,24473
Alleghany County,146,24474
Augusta County,227,24476
Augusta County,11482,24477
Augusta County,1791,24479
Augusta County,5312,24482
Rockbridge County,475,24483
Bath County,486,24484
Augusta County,346,24485
Augusta County,3739,24486
Highland County,566,24487
Campbell County,25006,24501
Lynchburg city,41979,24502
Bedford County,20419,24503
Campbell County,9632,24504
Lynchburg city,6391,24515
Campbell County,4996,24517
Halifax County,1931,24520
Amherst County,10599,24521
Appomattox County,10056,24522
Bedford County,20349,24523
Bedford County,1494,24526
Pittsylvania County,3262,24527
Campbell County,3775,24528
Mecklenburg County,1345,24529
Pittsylvania County,678,24530
Pittsylvania County,8695,24531
Halifax County,1655,24534
Bedford County,406,24536
Campbell County,4867,24538
Halifax County,159,24539
Pittsylvania County,31013,24540
Pittsylvania County,28042,24541
Pittsylvania County,4160,24549
Campbell County,8190,24550
Bedford County,28554,24551
Buckingham County,1610,24553
Campbell County,3769,24554
Rockbridge County,2123,24555
Bedford County,2584,24556
Pittsylvania County,7678,24557
Halifax County,6458,24558
Buckingham County,820,24562
Pittsylvania County,5184,24563
Pittsylvania County,1098,24565
Pittsylvania County,1084,24566
Pittsylvania County,1059,24569
Bedford County,0,24570
Campbell County,2092,24571
Amherst County,15744,24572
Amherst County,3666,24574
Halifax County,4577,24577
Rockbridge County,457,24578
Rockbridge County,1107,24579
Mecklenburg County,360,24580
Nelson County,0,24581
Pittsylvania County,4807,24586
Campbell County,8817,24588
Halifax County,1763,24589
Buckingham County,8229,24590
Halifax County,14589,24592
Appomattox County,2162,24593
Halifax County,1250,24594
Amherst County,630,24595
Halifax County,691,24597
Halifax County,1309,24598
Buckingham County,470,24599
Tazewell County,0,24601
Tazewell County,1213,24602
Buchanan County,632,24603
Tazewell County,230,24604
Tazewell County,8872,24605
Tazewell County,310,24606
Buchanan County,313,24607
Tazewell County,6923,24609
Tazewell County,113,24612
Tazewell County,276,24613
Buchanan County,6668,24614
Buchanan County,2270,24620
Buchanan County,527,24622
Tazewell County,5307,24630
Buchanan County,2397,24631
Buchanan County,338,24634
Tazewell County,779,24635
Tazewell County,3778,24637
Buchanan County,2736,24639
Tazewell County,5446,24641
Buchanan County,667,24646
Russell County,2135,24649
Tazewell County,5982,24651
Buchanan County,2305,24656
Buchanan County,250,24657
