Zip,Population,Count,Density,Region
23523,8188,12,14.6556,Central/East VA - Hampton Roads/Tidewater
23551,1702,4,23.5018,Central/East VA - Hampton Roads/Tidewater
23601,26645,77,28.8985,Central/East VA - Peninsula/Hampton Roads
23602,42265,82,19.4014,Central/East VA - Peninsula/Hampton Roads
23603,3504,11,31.3927,Central/East VA - Peninsula/Hampton Roads
23604,4416,9,20.3804,Central/East VA - Peninsula/Hampton Roads
23605,13332,20,15.0015,Central/East VA - Peninsula/Hampton Roads
23606,29971,228,76.0735,Central/East VA - Peninsula/Hampton Roads
23607,23096,18,7.7936,Central/East VA - Peninsula/Hampton Roads
23608,43641,59,13.5194,Central/East VA - Peninsula/Hampton Roads
23651,439,2,45.5581,Central/East VA - Peninsula/Hampton Roads
23661,14005,23,16.4227,Central/East VA - Peninsula/Hampton Roads
23662,12639,11,8.7032,Central/East VA - Peninsula/Hampton Roads
23663,14656,9,6.1408,Central/East VA - Peninsula/Hampton Roads
23664,9643,5,5.1851,Central/East VA - Peninsula/Hampton Roads
23665,5810,4,6.8847,Central/East VA - Peninsula/Hampton Roads
23666,54233,182,33.5589,Central/East VA - Peninsula/Hampton Roads
23668,723,3,41.4938,Central/East VA - Peninsula/Hampton Roads
23669,39884,72,18.0524,Central/East VA - Peninsula/Hampton Roads
23690,4597,31,67.4353,Central/East VA - Peninsula/Hampton Roads
23691,464,8,172.4138,Central/East VA - Peninsula/Hampton Roads
23692,19301,41,21.2424,Central/East VA - Peninsula/Hampton Roads
23693,23176,57,24.5944,Central/East VA - Peninsula/Hampton Roads
23696,3937,1,2.54,Central/East VA - Peninsula/Hampton Roads
23701,24298,42,17.2854,Central/East VA - Peninsula/Hampton Roads
23702,12485,8,6.4077,Central/East VA - Peninsula/Hampton Roads
23703,25610,45,17.5713,Central/East VA - Peninsula/Hampton Roads
23704,19207,53,27.5941,Central/East VA - Peninsula/Hampton Roads
23707,14766,17,11.5129,Central/East VA - Peninsula/Hampton Roads
23708,269,4,148.6989,Central/East VA - Peninsula/Hampton Roads
23709,510,0,0.0,Central/East VA - Peninsula/Hampton Roads
23801,8993,24,26.6874,Central/East VA - Southside/Central
23803,42012,59,14.0436,Central/East VA - Southside/Central
23805,21408,18,8.4081,Central/East VA - Southside/Central
23821,1983,0,0.0,Central/East VA - Southside/Central
23824,6455,1,1.5492,Central/East VA - Southside/Central
23827,1091,0,0.0,Central/East VA - Southside/Central
23828,577,2,34.662,Central/East VA - Southside/Central
23829,2731,0,0.0,Central/East VA - Southside/Central
23830,1412,0,0.0,Central/East VA - Southside/Central
23831,39529,72,18.2145,Central/East VA - Southside/Central
23832,41442,165,39.8147,Central/East VA - Southside/Central
23833,2212,2,9.0416,Central/East VA - Southside/Central
23834,26628,51,19.1528,Central/East VA - Southside/Central
23836,15298,20,13.0736,Central/East VA - Southside/Central
23837,4623,2,4.3262,Central/East VA - Southside/Central
23838,17686,33,18.6588,Central/East VA - Southside/Central
23839,993,0,0.0,Central/East VA - Southside/Central
23840,1733,0,0.0,Central/East VA - Southside/Central
23841,3021,1,3.3102,Central/East VA - Southside/Central
23842,6924,1,1.4443,Central/East VA - Southside/Central
23843,446,0,0.0,Central/East VA - Southside/Central
23844,522,0,0.0,Central/East VA - Southside/Central
23845,280,0,0.0,Central/East VA - Southside/Central
23846,709,0,0.0,Central/East VA - Southside/Central
23847,12956,12,9.2621,Central/East VA - Southside/Central
23850,1161,0,0.0,Central/East VA - Southside/Central
23851,13237,14,10.5764,Central/East VA - Southside/Central
23856,540,0,0.0,Central/East VA - Southside/Central
23857,352,0,0.0,Central/East VA - Southside/Central
23860,31404,28,8.9161,Central/East VA - Southside/Central
23866,1943,3,15.44,Central/East VA - Southside/Central
23867,5173,5,9.6656,Central/East VA - Southside/Central
23868,6281,3,4.7763,Central/East VA - Southside/Central
23872,2571,0,0.0,Central/East VA - Southside/Central
23874,673,0,0.0,Central/East VA - Southside/Central
23875,13029,10,7.6752,Central/East VA - Southside/Central
23876,252,0,0.0,Central/East VA - Southside/Central
23878,1217,0,0.0,Central/East VA - Southside/Central
23879,386,0,0.0,Central/East VA - Southside/Central
23881,2531,0,0.0,Central/East VA - Southside/Central
23882,1848,0,0.0,Central/East VA - Southside/Central
23883,1870,1,5.3476,Central/East VA - Southside/Central
23884,29,1,344.8276,Central/East VA - Southside/Central
23885,3193,1,3.1319,Central/East VA - Southside/Central
23887,631,0,0.0,Central/East VA - Southside/Central
23888,2528,0,0.0,Central/East VA - Southside/Central
23889,565,0,0.0,Central/East VA - Southside/Central
23890,4167,0,0.0,Central/East VA - Southside/Central
23891,1449,0,0.0,Central/East VA - Southside/Central
23893,504,0,0.0,Central/East VA - Southside/Central
23894,326,0,0.0,Central/East VA - Southside/Central
23897,949,0,0.0,Central/East VA - Southside/Central
23898,2246,0,0.0,Central/East VA - Southside/Central
23899,387,0,0.0,Central/East VA - Southside/Central
23901,15173,41,27.0217,Central/East VA - Southside/Central
23909,1109,1,9.0171,Central/East VA - Southside/Central
